"Name";"ID";"Location";"Size(MB)";"Status"
"Orphaned Cache Item";"9e4f7c68-c45b-463b-9a98-90bae077d9d5";"C:\windows\ccmcache\1x";"0.46";"Deleted!"
"Orphaned Cache Item";"04d203b2-112c-4b20-bf55-1a4ffca24268";"C:\windows\ccmcache\1z";"0.45";"Deleted!"
"Security Update for Microsoft Office 2016 (KB4011262) 64-Bit Edition";"a6105cc6-c9f4-4493-a52b-689b30aba2a8";"C:\windows\ccmcache\x";"0.44";"Deleted!"
"Orphaned Cache Item";"420e3cd0-5946-4f04-9ec1-2dbf4311f5b9";"C:\windows\ccmcache\15";"0.26";"Deleted!"
"Total Size of Items Deleted in MB: 3,027.75";"N/A";"N/A";"N/A";" ***** Last Run Date: 01/09/2018 11:47:57 *****"
"Security Update for Microsoft Outlook 2016 (KB4011626) 64-Bit Edition";"cba79cdd-331a-4663-a8eb-8afd3b15241c";"C:\windows\ccmcache\2c";"93.52";"Deleted!"
"Orphaned Cache Item";"386b2aac-1d9e-4408-8a9c-29e2269ceb83";"C:\windows\ccmcache\2g";"68.02";"Deleted!"
"Windows Malicious Software Removal Tool for Windows 8, 8.1, 10 and Windows Server 2012, 2012 R2, 2016 x64 Edition - January 2018 (KB890830)";"dd8eff88-d357-4d22-a3a6-00641c243941";"C:\windows\ccmcache\2f";"6.23";"Deleted!"
"Orphaned Cache Item";"baf184ea-2f15-4478-9725-abd0999d5f15";"C:\windows\ccmcache\2j";"45.51";"Deleted!"
"Microsoft .NET Framework 4.7.1 Language Packs for Windows 10 Version 1607 for x64 (KB4033418)";"d804d8cf-2525-465e-90c2-07429b2ac135";"C:\windows\ccmcache\2p";"4.24";"Deleted!"
"Orphaned Cache Item";"4be8d352-42b8-4063-afdc-0d2c7d880195";"C:\windows\ccmcache\2h";"34.40";"Deleted!"
"Orphaned Cache Item";"316f1c97-a729-42b4-8d86-cead01a09718";"C:\windows\ccmcache\2s";"26.67";"Deleted!"
"Orphaned Cache Item";"7cbd1a05-8f42-4948-a495-b278190e4e4e";"C:\windows\ccmcache\2o";"25.13";"Deleted!"
"Security Update for Microsoft Office 2016 (KB4011632) 64-Bit Edition";"33532a1c-3c22-49ff-afc4-c0818cc28c68";"C:\windows\ccmcache\2i";"248.08";"Deleted!"
"Orphaned Cache Item";"a3e228d1-326f-4aba-bdfc-35270c8a853d";"C:\windows\ccmcache\2l";"21.68";"Deleted!"
"Orphaned Cache Item";"4c063bf8-3810-4654-a563-4d96424d4ede";"C:\windows\ccmcache\2a";"21.55";"Deleted!"
"2018-01 Security Update for Adobe Flash Player for Windows 10 Version 1607 for x64-based Systems (KB4056887)";"0fa4b6ab-1fcd-4722-a84e-ec4012874035";"C:\windows\ccmcache\2k";"20.65";"Deleted!"
